iata,name,city,country_code
QJE,Kitsissuarsuit Heliport,Kitsissuarsuit,GL
KUS,Kulusuk Airport,Kulusuk,GL
KUZ,Kuummiut Heliport,Kuummiut,GL
JSU,Maniitsoq Airport,Maniitsoq,GL
JNN,Nanortalik Heliport,Nanortalik,GL
JNS,Narsaq Heliport,Narsaq,GL
QFN,Narsarmijit Heliport,Narsarmijit,GL
UAK,Narsarsuaq International Airport,Narsarsuaq,GL
CNP,Neerlerit Inaat Airport,Neerlerit Inaat,GL
NIQ,Niaqornat Heliport,Niaqornat,GL
JUU,Nuugaatsiaq Heliport,Nuugaatsiaq,GL
GOH,Nuuk International Airport,Nuuk,GL
JFR,Paamiut Airport,Paamiut,GL
THU,Pituffik Space Base,Pituffik,GL
NAQ,Qaanaaq Airport,Qaanaaq,GL
JJU,Qaqortoq Heliport,Qaqortoq,GL
JCH,Qasigiannguit Heliport,Qasigiannguit,GL
QJH,Qassimiut Heliport,Qassimiut,GL
PQT,Qeqertaq Heliport,Qeqertaq,GL
JGO,Qeqertarsuaq Heliport,Qeqertarsuaq,GL
QOQ,Saarloq Heliport,Saarloq,GL
SAE,Saattut Heliport,Saattut,GL
SVR,Savissivik Heliport,Savissivik,GL
SGG,Sermiligaaq Heliport,Sermiligaaq,GL
SRK,Siorapaluk Heliport,Siorapaluk,GL
JHS,Sisimiut Airport,Sisimiut,GL
AGM,Tasiilaq Heliport,Tasiilaq,GL
XEQ,Tasiusaq Heliport,Tasiusak,GL
TQA,Tasiusaq Heliport,Tasiusaq,GL
TQI,Tiniteqilaaq Heliport,Tiniteqilaaq,GL
JUK,Ukkusissat Heliport,Ukkusissat,GL
JUV,Upernavik Airport,Upernavik,GL
JQA,Qaarsut Airport,Uummannaq,GL
UMD,Uummannaq Heliport,Uummannaq,GL
BJL,Banjul International Airport,Yundum,GM
CKY,Conakry International Airport,Conakry,GN
BBR,Basse-Terre Baillif Airport,Basse-Terre,GP
GBJ,Marie-Galante Airport,Grand-Bourg,GP
DSD,La Désirade Airport,Grande Anse,GP
PTP,Maryse Condé International Airport,Pointe-à-Pitre,GP
SFC,St-François Airport,St-François,GP
BSG,Bata International Airport,Bata,GQ
OCS,Corisco International Airport,Corisco Island,GQ
SSG,Malabo International Airport,Malabo,GQ
NBN,Annobón Airport,San Antonio de Palé,GQ
AXD,Alexandroupoli Democritus Airport,Alexandroupolis,GR
KSO,Kastoria National Airport Aristotle,Argos Orestiko,GR
JTY,Astypalaia Airport,Astypalaia Island,GR
JKH,Chios Island National Airport,Chios Island,GR
JSH,Sitia Airport,Crete Island,GR
HER,Heraklion International Nikos Kazantzakis Airport,Heraklion,GR
JIK,Ikaria Airport,Ikaria Island,GR
IOA,Ioannina King Pyrrhus National Airport,Ioannina,GR
KLX,Kalamata Airport,Kalamata,GR
JKL,Kalymnos Airport,Kalymnos Island,GR
AOK,Karpathos Airport,Karpathos Island,GR
KSJ,Kasos Airport,Kasos Island,GR
KZS,Kastelorizo Airport,Kastelorizo Island,GR
KVA,Kavala Alexander the Great International Airport,Kavala,GR
EFL,Kefallinia Airport,Kefallinia Island,GR
CFU,Corfu Ioannis Kapodistrias International Airport,Kerkyra (Corfu),GR
KIT,Kithira Airport,Kithira Island,GR
KGS,Kos Airport,Kos Island,GR
KZI,Kozani National Airport Filippos,Kozani,GR
LRS,Leros Airport,Leros Island,GR
LXS,Limnos Airport,Limnos Island,GR
MLO,Milos Airport,Milos Island,GR
JMK,Mykonos Island National Airport,Mykonos,GR
MJT,Mytilene International Airport,Mytilene,GR
JNX,Naxos Island National Airport,Naxos,GR
VOL,Nea Anchialos National Airport,Nea Anchialos,GR
PAS,Paros National Airport,Paros,GR
GPA,Patras Araxos Agamemnon Airport,Patras,GR
PVK,Aktion National Airport,Preveza,GR
RHO,Diagoras Airport,Rhodes,GR
SMI,Samos Airport,Samos Island,GR
JTR,Santorini International Airport,Santorini Island,GR
JSI,Skiathos Island National Airport,Skiathos,GR
SKU,Skiros Airport,Skiros Island,GR
CHQ,Chania International Airport,Souda,GR
ATH,Athens Eleftherios Venizelos International Airport,Spata-Artemida,GR
JSY,Syros Airport,Syros Island,GR
SKG,Thessaloniki Macedonia International Airport,Thessaloniki,GR
ZTH,Zakynthos International Airport Dionysios Solomos,Zakynthos,GR
GUA,La Aurora International Airport,Guatemala City,GT
HUG,Huehuetenango Airport,Huehuetenango,GT
PBR,Puerto Barrios Airport,Puerto Barrios,GT
AAZ,Quezaltenango Airport,Quezaltenango,GT
RER,Retalhuleu Airport,Retalhuleu,GT
FRS,Mundo Maya International Airport,San Benito,GT
GUM,Antonio B. Won Pat International Airport,Hagåtña,GU
OXB,Osvaldo Vieira International Airport,Bissau,GW
GEO,Cheddi Jagan International Airport,Georgetown,GY
KAI,Kaieteur International Airport,Kaieteur Falls,GY
LTM,Lethem Airport,Lethem,GY
OGL,Eugene F. Correia International Airport,Ogle,GY
HHP,Shun Tak Heliport,Central and Western,HK
HKG,Hong Kong International Airport,Hong Kong,HK
RTB,Juan Manuel Gálvez International Airport,Coxen Hole,HN
GJA,La Laguna Airport,Guanaja,HN
LCE,Golosón International Airport,La Ceiba,HN
XPL,Palmerola International Airport / José Enrique Soto Cano Air Base,Palmerola,HN
PEU,Puerto Lempira Airport,Puerto Lempira,HN
SAP,Ramón Villeda Morales International Airport,San Pedro Sula,HN
TGU,Toncontín International Airport,Tegucigalpa,HN
UII,Utila Airport,Utila Island,HN
DBV,Dubrovnik Ruđer Bošković Airport,Dubrovnik,HR
BWK,Brač Airport,Gornji Humac,HR
OSI,Osijek Airport,Osijek(Klisa),HR
PUY,Pula Airport,Pula,HR
RJK,Rijeka Airport,Rijeka(Omišalj),HR
SPU,Split Saint Jerome Airport,Split,HR
ZAG,Zagreb Franjo Tuđman International Airport,Velika Gorica,HR
ZAD,Zadar Airport,Zadar,HR
CAP,Cap Haitien International Airport,Cap Haitien,HT
JEE,Jérémie Airport,Carrefour Sanon,HT
CYA,Antoine-Simon International Airport,Les Cayes,HT
PAP,Toussaint Louverture International Airport,Port-au-Prince,HT
BUD,Budapest Liszt Ferenc International Airport,Budapest,HU
DEB,Debrecen International Airport,Debrecen,HU
PEV,Pécs-Pogány Airport,Pécs,HU
SOB,Hévíz–Balaton Airport,Sármellék,HU
AMQ,Pattimura International Airport,Ambon,ID
ABU,AA Bere Tallo (Haliwen) Airport,Atambua,ID
RTI,David Constantijn Saudale Airport,Ba'a - Rote Island,ID
BPN,Sultan Aji Muhammad Sulaiman Sepinggan International Airport,Balikpapan,ID
BTJ,Sultan Iskandar Muda International Airport,Banda Aceh,ID
TKG,Radin Inten II International Airport,Bandar Lampung,ID
BDO,Husein Sastranegara International Airport,Bandung,ID
BTH,Hang Nadim International Airport,Batam,ID
BTW,Bersujud Airport,Batu Licin,ID
BKS,Fatmawati Soekarno Airport,Bengkulu,ID
KSR,Selayar - Haji Aroeppala Airport,Benteng,ID
KNO,Kualanamu International Airport,Beringin,ID
BIK,Frans Kaisiepo Airport,Biak,ID
UGU,Bilorai Airport,Bilogai,ID
BUI,Bokondini Airport,Bokondini,ID
BXT,LNG Badak Airport,Bontang-Borneo Island,ID
UOL,Buol - Pogogul Airport,Buol-Celebes Island,ID
CJN,Nusawiru Airport,Cijulang,ID
CXP,Tunggul Wulung Airport,Cilacap,ID
DTD,Datadawai Airport,Datadawai-Borneo Island,ID
DEX,Nop Goliat Dekai Airport,Dekai,ID
DUM,Pinang Kampai Airport,Dumai,ID
ENE,H. Hasan Aroeboesman (Ende) Airport,Ende,ID
FKQ,Fakfak Airport,Fakfak,ID
GTO,Jalaluddin Airport,Gorontalo-Celebes Island,ID
GNS,Binaka Airport,Gunungsitoli,ID
HLP,Halim Perdanakusuma International Airport,Jakarta,ID
CGK,Soekarno-Hatta International Airport,Jakarta,ID
DJB,Sultan Thaha Airport,Jambi,ID
JBB,Notohadinegoro Airport,Jember,ID
ARD,Alor Island - Mali Airport,Kabola,ID
KNG,Utarom Airport,Kaimana,ID
KWB,Dewadaru Airport,Karimunjawa,ID
KDI,Haluoleo Airport,Kendari,ID
KJT,Kertajati International Airport,Kertajati,ID
KTG,Rahadi Osman Airport,Ketapang,ID
KXB,Sangia Nibandera Airport,Kolaka,ID
MEQ,Cut Nyak Dhien Airport,Kuala Pesisir,ID
KOE,El Tari Airport,Kupang,ID
DPS,Denpasar I Gusti Ngurah Rai International Airport,"Kuta, Badung",ID
LSR,Alas Leuser Airport,Kutacane,ID
LBJ,Komodo Airport,"Labuan Bajo, Manggarai Barat",ID
BDJ,Syamsudin Noor International Airport,Landasan Ulin,ID
LUV,Karel Sadsuitubun Airport,Langgur,ID
LSW,Malikus Saleh Airport,Lhok Seumawe-Sumatra Island,ID
LKM,Bolaang Mongondow Airport,Lolak,ID
LPU,Long Apung Airport,Long Apung-Borneo Island,ID
LBW,Yuvai Semaring Airport,Long Bawan,ID
LKI,Lasikin Airport,Lubang,ID
UPG,Sultan Hasanuddin International Airport,Makassar,ID
MLG,Abdul Rachman Saleh Airport,Malang,ID
LNU,Robert Atty Bessing,Malinau,ID
MDC,Sam Ratulangi International Airport,Manado,ID
MKW,Rendani Airport,Manokwari,ID
LOP,Lombok International Airport,"Mataram (Pujut, Lombok Tengah)",ID
MKQ,Mopah International Airport,Merauke,ID
MOH,Maleo Airport,Morowali,ID
BUU,Muara Bungo Airport,Muara Bungo,ID
HMS,Haji Muhammad Sidik Airport,Muara Teweh,ID
MPC,Muko Muko Airport,Muko Muko,ID
NAM,Namniwel Airport,Namniwel,ID
NPO,Nanga Pinoh Airport,Nanga Pinoh-Borneo Island,ID
OKL,Oksibil Airport,Oksibil,ID
PDG,Minangkabau International Airport,Padang (Katapiang),ID
PKY,Tjilik Riwut Airport,Palangkaraya,ID
PLM,Sultan Mahmud Badaruddin II Airport,Palembang,ID
BMU,Sultan Muhammad Salahuddin Airport,"Palibelo, Bima",ID
LLO,Bua - Palopo Lagaligo Airport,Palopo,ID
PLW,Mutiara - SIS Al-Jufrie Airport,Palu,ID
PGK,Depati Amir Airport,Pangkal Pinang,ID
PKN,Iskandar Airport,Pangkalanbun,ID
PKU,Sultan Syarif Kasim II International Airport / Roesmin Nurjadin AFB,Pekanbaru,ID
PNK,Supadio International Airport,Pontianak,ID
PSU,Pangsuma Airport,Putussibau-Borneo Island,ID
TMC,Tambolaka Airport,Radamata,ID
NTX,Ranai Airport,Ranai-Natuna Besar Island,ID
BWX,Banyuwangi Airport,"Rogojampi, Banyuwangi",ID
AAP,Aji Pangeran Tumenggung Pranoto International Airport,Samarinda,ID
SMQ,Sampit (H.Asan) Airport,Sampit,ID
RTG,Frans Sales Lega Airport,"Satar Tacik, Manggarai",ID
SXK,Mathilda Batlayeri Airport,Saumlaki-Yamdena Island,ID
SRG,Jenderal Ahmad Yani Airport,Semarang,ID
DJJ,Dortheys Hiyo Eluay International Airport,Sentani,ID
KLP,Seruyan Kuala Pembuang Airport,Seruyan,ID
FLZ,Dr. Ferdinand Lumban Tobing Airport,Sibolga (Pinangsori),ID
DTB,Silangit Airport,Siborong-Borong,ID
FSH,Syekh Hamzah Fansyuri Airport,Singkil,ID
SQG,Tebelian Airport,Sintang,ID
RKI,Mentawai Airport,Sipura Island,ID
SOQ,Domine Eduard Osok Airport,Sorong,ID
KBU,Gusti Syamsir Alam Airport,Stagen,ID
SWQ,Sultan Muhammad Kaharuddin III Airport,Sumbawa Besar,ID
KRC,Departi Parbo Airport,Sungai Penuh,ID
SUB,Juanda International Airport,Surabaya,ID
SOC,Adisumarmo Airport,Surakarta,ID
NAH,Naha Airport,"Tabukan Utara, Sangihe Islands",ID
TXE,Rembele Airport,Takengon,ID
PDO,Pendopo Airport,Talang Gudang-Sumatra Island,ID
TMH,Tanah Merah Airport,Tanah Merah,ID
TJQ,H A S Hanandjoeddin International Airport,Tanjung Pandan,ID
TNJ,Raja Haji Fisabilillah International Airport,Tanjung Pinang-Bintan Island,ID
BEJ,Kalimarau Airport,Tanjung Redeb - Borneo Island,ID
TJS,Tanjung Harapan Airport,Tanjung Selor-Borneo Island,ID
TJG,Warukin Airport,Tanta-Tabalong,ID
TRK,Juwata International Airport / Suharnoko Harbani AFB,Tarakan,ID
TTE,Sultan Babullah Airport,Ternate,ID
JIO,Jos Orno Imsula Airport,Tiakur,ID
TIM,Mozes Kilangin Airport,Timika,ID
LKA,Larantuka Gewayentana Airport,Tiwatobi,ID
OJU,Tanjung Api Airport,Tojo Una-Una,ID
TLI,Sultan Bantilan Airport,Toli Toli-Celebes Island,ID
TRT,Toraja Airport,Toraja,ID
TBM,Tumbang Samba Airport,Tumbang Samba-Borneo Island,ID
WGP,Umbu Mehang Kunda Airport,Waingapu-Sumba Island,ID
MOF,Frans Xavier Seda Airport,Waioti,ID
RJM,Marinda Airport,Waisai,ID
WMX,Wamena Airport,Wamena,ID
WNI,Matahora Airport,Wangi-wangi Island,ID
JOG,Adisutjipto International Airport,Yogyakarta,ID
YIA,Yogyakarta International Airport,Yogyakarta,ID
NOC,Ireland West Airport Knock,Charlestown,IE
ORK,Cork International Airport,Cork,IE
CFN,Donegal Airport,Donegal,IE
DUB,Dublin Airport,Dublin,IE
KIR,Kerry Airport,Farranfore,IE
IIA,Inishmaan Aerodrome,Inis Meáin,IE
IOR,Inishmore Aerodrome,Inis Mór,IE
INQ,Inisheer Aerodrome,Inis Oírr,IE
NNR,Connemara Regional Airport,Inverin,IE
SNN,Shannon Airport,Shannon,IE
ETM,Ramon International Airport,Eilat,IL
HFA,Uri Michaeli Haifa International Airport,Haifa,IL
TLV,Ben Gurion International Airport,Tel Aviv,IL
IOM,Isle of Man Airport,Castletown,IM
AIP,Adampur Airport,Adampur,IN
IXA,Agartala - Maharaja Bir Bikram Airport,Agartala,IN
AGX,Agatti Airport,Agatti,IN
AGR,Agra Airport / Agra Air Force Station,Agra,IN
AMD,Sardar Vallabh Patel International Airport,Ahmedabad,IN
AJL,Lengpui Airport,Aizawl (Lengpui),IN
KQH,Kishangarh Airport Ajmer,Ajmer (Kishangarh),IN
HRH,Aligarh Airport,Aligarh,IN
IXD,Prayagraj Airport,Allahabad,IN
AHA,Maa Mahamaya Airport,Ambikapur,IN
ATQ,Sri Guru Ram Das Ji International Airport,Amritsar,IN
IXU,Aurangabad Airport,Aurangabad,IN
BLR,Kempegowda International Airport Bengaluru,Bangaluru,IN
BEK,Bareilly Air Force Station,Bareilly,IN
IXG,Belagavi Airport,Belgaum,IN
BHU,Bhavnagar Airport,Bhavnagar,IN
UKE,Utkela Airport,Bhawanipatna,IN
BHO,Raja Bhoj International Airport,Bhopal,IN
BBI,Biju Patnaik International Airport,Bhubaneswar,IN
BHJ,Bhuj Airport,Bhuj,IN
KUU,Kullu Manali Airport,Bhuntar,IN
PAB,Bilaspur Airport,Bilaspur,IN
CCJ,Calicut International Airport,Calicut,IN
IXC,Shaheed Bhagat Singh International Airport,Chandigarh,IN
MAA,Chennai International Airport,Chennai,IN
SDW,Sindhudurg Airport,Chipi,IN
CJB,Coimbatore International Airport,Coimbatore,IN
DBR,Darbhanga Airport,Darbhanga,IN
DED,Dehradun Jolly Grant Airport,Dehradun (Jauligrant),IN
DGH,Deoghar Airport,Deoghar,IN
DIB,Dibrugarh Airport,Dibrugarh,IN
DMU,Dimapur Airport,Dimapur,IN
DIU,Diu Airport,Diu,IN
RDP,Kazi Nazrul Islam Airport,Durgapur,IN
AYJ,Maharshi Valmiki International Airport,Faizabad,IN
GAY,Gaya Airport,Gaya,IN
HDO,Hindon Airport / Hindon Air Force Station,Ghaziabad,IN
GDB,Gondia Airport,Gondia,IN
GOP,Gorakhpur Airport,Gorakhpur,IN
GAU,Lokpriya Gopinath Bordoloi International Airport,Guwahati,IN
GWL,Gwalior Airport,Gwalior,IN
HSS,Maharaja Agrasen International Airport,Hisar,IN
HGI,Itanagar Donyi Polo Hollongi Airport,Hollongi,IN
HBX,Hubballi Airport,Hubballi,IN
HYD,Rajiv Gandhi International Airport,Hyderabad,IN
IMF,Bir Tikendrajit International Airport,Imphal,IN
IDR,Devi Ahilya Bai Holkar International Airport,Indore,IN
JLR,Jabalpur Airport,Jabalpur,IN
JGB,Jagdalpur Airport,Jagdalpur,IN
JAI,Jaipur International Airport,Jaipur,IN
JLG,Jalgaon Airport,Jalgaon,IN
IXJ,Jammu Airport,Jammu,IN
JGA,Jamnagar Airport,Jamnagar,IN
JDH,Jodhpur Airport,Jodhpur,IN
JRH,Jorhat Airport,Jorhat,IN
CDP,Kadapa Airport,Kadapa,IN
SAG,Shirdi International Airport,Kakadi,IN
GBI,Kalaburagi Airport,Kalaburagi,IN
IXY,Kandla Airport,Kandla,IN
DHM,Kangra Airport,Kangra,IN
CNN,Kannur International Airport,Kannur,IN
KNU,Kanpur Airport,Kanpur,IN
IXK,Keshod Airport,Keshod,IN
HJR,Khajuraho Airport,Khajuraho,IN
COK,Cochin International Airport,Kochi,IN
KLH,Kolhapur Airport,Kolhapur,IN
CCU,Netaji Subhash Chandra Bose International Airport,Kolkata,IN
LTU,Murod Kond Airport,Latur,IN
IXL,Leh Kushok Bakula Rimpochee Airport,Leh,IN
IXI,Lilabari North Lakhimpur Airport,Lilabari,IN
LKO,Chaudhary Charan Singh International Airport,Lucknow,IN
RJA,Rajahmundry Airport,Madhurapudi,IN
IXM,Madurai Airport,Madurai,IN
IXE,Mangaluru International Airport,Mangaluru,IN
GOX,Manohar International Airport,Mopa,IN
MZS,Moradabad Airport,Moradabad,IN
BOM,Chhatrapati Shivaji Maharaj International Airport,Mumbai,IN
MYQ,Mysore Airport,Mysore,IN
NAG,Dr. Babasaheb Ambedkar International Airport,Nagpur,IN
NDC,Nanded Airport,Nanded,IN
ISK,Nashik Airport,Nasik,IN
NMI,Navi Mumbai International Airport,Navi Mumbai,IN
DEL,Indira Gandhi International Airport,New Delhi,IN
KJB,Kurnool Airport,Orvakal,IN
PGH,Pantnagar Airport,Pantnagar,IN
IXP,Pathankot Airport,Pathankot,IN
PAT,Jay Prakash Narayan Airport,Patna,IN
PBD,Porbandar Airport,Porbandar,IN
IXZ,Veer Savarkar International Airport / INS Utkrosh,Port Blair,IN
PNY,Pondicherry Airport,Puducherry (Pondicherry),IN
PNQ,Pune International Airport,Pune,IN
RPR,Swami Vivekananda Airport,Raipur,IN
IXR,Birsa Munda Airport,Ranchi,IN
REW,"Rewa Airport, Chorhata, REWA",Rewa,IN
SHL,Shillong Airport,Shillong,IN
VSV,Shravasti Airport,Shravasti,IN
IXS,Silchar Airport,Silchar,IN
IXB,Bagdogra Airport,Siliguri,IN
SXR,Sheikh ul Alam International Airport,Srinagar,IN
STV,Surat International Airport,Surat,IN
TRV,Thiruvananthapuram International Airport,Thiruvananthapuram,IN
TRZ,Tiruchirappalli International Airport,Tiruchirappalli,IN
TIR,Tirupati International Airport,Tirupati,IN
UDR,Maharana Pratap Airport,Udaipur,IN
BDQ,Vadodara International Airport,Vadodara,IN
TCR,Tuticorin Airport,Vagaikulam,IN
VNS,Lal Bahadur Shastri International Airport,Varanasi,IN
GOI,Goa Dabolim International Airport,Vasco da Gama,IN
VGA,Vijayawada International Airport,Vijayawada,IN
VTZ,Visakhapatnam International Airport,Visakhapatnam,IN
JSA,Jaisalmer Airport,nan,IN
JRG,Jharsuguda Airport,nan,IN
TEZ,Tezpur Airport,nan,IN
EBL,Erbil International Airport,Arbil,IQ
BGW,Baghdad International Airport / New Al Muthana Air Base,Baghdad,IQ
BSR,Basra International Airport,Basra,IQ
NJF,Al Najaf International Airport,Najaf,IQ
ISU,Sulaymaniyah International Airport,Sulaymaniyah,IQ
ABD,Abadan Ayatollah Jami International Airport,Abadan,IR
AEU,Abu Musa Island Airport,Abu Musa,IR
AWZ,Qasem Soleimani International Airport,Ahvaz,IR
ADU,Ardabil Airport,Ardabil,IR
BXR,Bam Airport,Bam,IR
BND,Bandar Abbas International Airport,Bandar Abbas,IR
BDH,Bandar Lengeh International Airport,Bandar Lengeh,IR
JSK,Jask Airport,Bandar-e-Jask,IR
XBJ,Birjand International Airport,Birjand,IR
BJB,Bojnord Airport,Bojnord,IR
BUZ,Bushehr Airport,Bushehr,IR
DEF,Dezful Airport,Dezful,IR
GCH,Gachsaran Airport,Gachsaran,IR
HDM,Hamadan Airport,Hamadan,IR
IFN,Isfahan Shahid Beheshti International Airport,Isfahan,IR
PYK,Payam Karaj International Airport,Karaj,IR
KKS,Kashan Airport,Kashan,IR
KER,Ayatollah Hashemi Rafsanjani International Airport,Kerman,IR
